?‚é?,å£“å?,?»ä?,æº«åº¦,é«”ç?,LnV,LnP
1.11,223.4,0.755,305.3,0.000113,-9.091,5.409
1.115,225.3,0.731,306,0.000112,-9.098,5.417
1.12,227.2,0.706,306.7,0.000111,-9.104,5.426
1.125,229.4,0.679,307.3,0.00011,-9.112,5.435
1.13,231.7,0.65,308,0.00011,-9.12,5.445
1.135,234.5,0.618,308.7,0.000109,-9.129,5.457
1.14,237.5,0.585,309.3,0.000108,-9.138,5.47
1.145,240.4,0.552,310,0.000107,-9.147,5.482
1.15,243.5,0.517,310.7,0.000106,-9.157,5.495
1.155,246.8,0.48,311.7,0.000104,-9.167,5.509
1.16,250.2,0.444,312.4,0.000103,-9.178,5.522
1.165,253.9,0.406,313.1,0.000102,-9.189,5.537
1.17,257.2,0.374,313.9,0.000101,-9.198,5.55
1.175,260.7,0.34,314.6,0.0001,-9.208,5.563
1.18,264.1,0.305,315.5,0.000099,-9.219,5.576
1.185,267.4,0.276,316.1,0.000098,-9.228,5.589
1.19,270.8,0.246,316.9,0.000097,-9.237,5.601
1.195,273.8,0.219,317.7,0.000097,-9.245,5.613
1.2,274,0.219,318.4,0.000097,-9.245,5.613
1.205,273.7,0.22,318.9,0.000097,-9.245,5.612
1.21,273.5,0.22,319.3,0.000097,-9.245,5.611
1.215,273.1,0.22,319.8,0.000097,-9.245,5.61
1.22,273.1,0.22,320.1,0.000097,-9.245,5.61
1.225,273,0.22,320.5,0.000097,-9.245,5.609
1.23,272.9,0.219,320.8,0.000097,-9.245,5.609
1.235,272.8,0.219,321,0.000097,-9.245,5.609
1.24,272.6,0.22,321.2,0.000097,-9.245,5.608
1.245,272.5,0.219,321.4,0.000097,-9.245,5.608
1.25,272.4,0.219,321.6,0.000097,-9.245,5.607
1.255,272.3,0.219,321.7,0.000097,-9.245,5.607
1.26,272.1,0.219,321.9,0.000097,-9.245,5.606
1.265,272.1,0.219,322,0.000097,-9.245,5.606
1.27,271.9,0.219,322.1,0.000097,-9.245,5.605
1.275,271.8,0.219,322.2,0.000097,-9.245,5.605
1.28,271.8,0.219,322.2,0.000097,-9.245,5.605
1.285,271.7,0.219,322.2,0.000097,-9.245,5.605
1.29,271.4,0.218,322.3,0.000097,-9.246,5.604
1.295,271.3,0.219,322.4,0.000097,-9.245,5.603
1.3,271.2,0.218,322.4,0.000097,-9.246,5.603
1.305,271.2,0.219,322.4,0.000097,-9.245,5.603
1.31,270.9,0.219,322.5,0.000097,-9.245,5.602
1.315,270.8,0.219,322.5,0.000097,-9.245,5.601
1.32,270.8,0.219,322.5,0.000097,-9.245,5.601
1.325,270.8,0.219,322.5,0.000097,-9.245,5.601
1.33,270.6,0.219,322.5,0.000097,-9.245,5.601
1.335,270.6,0.219,322.5,0.000097,-9.245,5.601
1.34,270.3,0.219,322.5,0.000097,-9.245,5.6
1.345,270.2,0.218,322.5,0.000097,-9.246,5.599
1.35,270,0.218,322.6,0.000097,-9.246,5.598
1.355,270,0.218,322.5,0.000097,-9.246,5.598
1.36,269.7,0.218,322.5,0.000097,-9.246,5.597
1.365,269.9,0.219,322.4,0.000097,-9.245,5.598
1.37,269.7,0.218,322.5,0.000097,-9.246,5.597
1.375,269.6,0.218,322.5,0.000097,-9.246,5.597
1.38,269.4,0.219,322.5,0.000097,-9.245,5.596
1.385,269.4,0.219,322.4,0.000097,-9.245,5.596
1.39,269.2,0.219,322.5,0.000097,-9.245,5.596
1.395,269.1,0.219,322.4,0.000097,-9.245,5.595
1.4,268.9,0.219,322.4,0.000097,-9.245,5.594
1.405,268.8,0.219,322.4,0.000097,-9.245,5.594
1.41,268.8,0.219,322.4,0.000097,-9.245,5.594
1.415,268.5,0.22,322.3,0.000097,-9.245,5.593
1.42,268.4,0.221,322.3,0.000097,-9.245,5.593
1.425,267.9,0.223,322.2,0.000097,-9.244,5.591
1.43,267.3,0.229,322.2,0.000097,-9.242,5.588
1.435,266.1,0.237,322.2,0.000097,-9.24,5.584
1.44,264.1,0.255,322.1,0.000098,-9.234,5.576
1.445,261.5,0.277,322,0.000098,-9.227,5.567
1.45,258.1,0.308,321.7,0.000099,-9.218,5.554
1.455,253.8,0.353,321.4,0.000101,-9.204,5.537
1.46,248.7,0.401,321,0.000102,-9.19,5.516
1.465,242.8,0.461,320.2,0.000104,-9.173,5.492
1.47,236.5,0.529,319.5,0.000106,-9.153,5.466
1.475,229.6,0.603,318.6,0.000108,-9.133,5.437
1.48,222.6,0.686,317.5,0.000111,-9.11,5.406
1.485,215.6,0.77,316.3,0.000113,-9.087,5.374
1.49,208.6,0.86,314.9,0.000116,-9.064,5.341
1.495,201.9,0.952,313.4,0.000119,-9.04,5.308
1.5,195.5,1.044,311.8,0.000121,-9.017,5.275
1.505,189.7,1.135,310,0.000124,-8.995,5.245
1.51,184,1.223,308.4,0.000127,-8.974,5.215
1.515,179,1.309,306.7,0.000129,-8.954,5.188
1.52,174.2,1.391,305.1,0.000132,-8.935,5.16
1.525,169.9,1.472,303.5,0.000134,-8.917,5.135
1.53,166,1.547,301.8,0.000136,-8.9,5.112
1.535,162.5,1.623,300.2,0.000139,-8.883,5.091
1.54,159.2,1.687,298.7,0.000141,-8.87,5.07
1.545,156.1,1.751,297.3,0.000143,-8.856,5.051
1.55,153.6,1.809,296,0.000144,-8.844,5.034
1.555,151.3,1.862,294.5,0.000146,-8.833,5.019
1.56,149.1,1.914,293.4,0.000147,-8.822,5.005
1.565,147.4,1.961,292.1,0.000149,-8.813,4.993
1.57,145.6,2.003,291.1,0.00015,-8.804,4.981
1.575,144.1,2.045,290.1,0.000151,-8.796,4.971
1.58,142.6,2.084,289.1,0.000153,-8.788,4.96
1.585,141.1,2.119,288.2,0.000154,-8.781,4.95
1.59,139.8,2.157,287.4,0.000155,-8.774,4.94
1.595,138.5,2.194,286.5,0.000156,-8.767,4.931
1.6,137.3,2.228,285.8,0.000157,-8.76,4.922
1.605,136.1,2.262,285,0.000158,-8.754,4.913
1.61,135,2.293,284.2,0.000159,-8.748,4.905
1.615,133.9,2.326,283.5,0.00016,-8.742,4.897
1.62,132.7,2.363,282.8,0.000161,-8.735,4.888
1.625,131.7,2.396,282.2,0.000162,-8.729,4.881
1.63,130.6,2.427,281.6,0.000163,-8.723,4.872
1.635,129.8,2.459,281.2,0.000164,-8.717,4.866
1.64,128.6,2.492,280.5,0.000165,-8.711,4.856
1.645,127.7,2.525,280,0.000166,-8.705,4.85
1.65,126.6,2.558,279.5,0.000167,-8.699,4.841
1.655,125.7,2.59,279,0.000168,-8.693,4.834
1.66,124.8,2.62,278.5,0.000169,-8.688,4.827
1.665,124,2.652,278.1,0.00017,-8.682,4.82
1.67,123,2.681,277.6,0.00017,-8.677,4.812
1.675,122.3,2.709,277.1,0.000171,-8.672,4.806
1.68,121.6,2.736,276.7,0.000172,-8.667,4.8
1.685,120.7,2.761,276.4,0.000173,-8.663,4.793
1.69,120.1,2.784,275.9,0.000174,-8.659,4.788
1.695,119.6,2.809,275.5,0.000174,-8.655,4.784
1.7,119,2.831,275.1,0.000175,-8.651,4.779
1.705,118.5,2.848,274.7,0.000175,-8.648,4.775
1.71,118.2,2.862,274.5,0.000176,-8.646,4.772
1.715,117.9,2.874,274.2,0.000176,-8.644,4.77
1.72,117.7,2.883,274,0.000176,-8.642,4.768
1.725,117.7,2.89,273.7,0.000177,-8.641,4.768
1.73,117.6,2.891,273.5,0.000177,-8.641,4.767
1.735,117.5,2.892,273.4,0.000177,-8.641,4.766
1.74,117.5,2.895,273.2,0.000177,-8.64,4.766
1.745,117.6,2.896,273,0.000177,-8.64,4.767
1.75,117.6,2.897,273,0.000177,-8.64,4.767
1.755,117.5,2.898,272.9,0.000177,-8.64,4.766
1.76,117.5,2.898,272.8,0.000177,-8.64,4.766
1.765,117.6,2.9,272.7,0.000177,-8.639,4.767
1.77,117.5,2.902,272.6,0.000177,-8.639,4.766
1.775,117.5,2.903,272.6,0.000177,-8.639,4.766
1.78,117.5,2.904,272.6,0.000177,-8.639,4.766
1.785,117.3,2.908,272.5,0.000177,-8.638,4.765
1.79,117.5,2.907,272.5,0.000177,-8.638,4.766
1.795,117.3,2.908,272.4,0.000177,-8.638,4.765
1.8,117.3,2.909,272.3,0.000177,-8.638,4.765
1.805,117.5,2.91,272.3,0.000177,-8.638,4.766
1.81,117.3,2.91,272.3,0.000177,-8.638,4.765
1.815,117.6,2.91,272.3,0.000177,-8.638,4.767
1.82,117.5,2.914,272.3,0.000177,-8.637,4.766
1.825,117.3,2.914,272.3,0.000177,-8.637,4.765
1.83,117.3,2.915,272.3,0.000177,-8.637,4.765
1.835,117.5,2.915,272.2,0.000177,-8.637,4.766
1.84,117.3,2.918,272.2,0.000178,-8.636,4.765
1.845,117.3,2.919,272.1,0.000178,-8.636,4.765
1.85,117.2,2.92,272.2,0.000178,-8.636,4.764
1.855,117.3,2.92,272.1,0.000178,-8.636,4.765
1.86,117.3,2.92,272.1,0.000178,-8.636,4.765
1.865,117.2,2.923,272.1,0.000178,-8.636,4.764
1.87,117.2,2.923,272.1,0.000178,-8.636,4.764
1.875,117.3,2.925,272.1,0.000178,-8.635,4.765
1.88,117.3,2.925,272.1,0.000178,-8.635,4.765
1.885,117.3,2.926,272.1,0.000178,-8.635,4.765
1.89,117.3,2.926,272.1,0.000178,-8.635,4.765
1.895,117.3,2.929,272.1,0.000178,-8.635,4.765
1.9,117.3,2.929,272.1,0.000178,-8.635,4.765
1.905,117.2,2.93,272.1,0.000178,-8.634,4.764
1.91,117.2,2.93,272.1,0.000178,-8.634,4.764
1.915,117.2,2.932,272.1,0.000178,-8.634,4.764
1.92,117.2,2.932,272.1,0.000178,-8.634,4.764
1.925,117.2,2.935,272,0.000178,-8.634,4.764
1.93,117.2,2.935,272.1,0.000178,-8.634,4.764
1.935,117.2,2.935,272,0.000178,-8.634,4.764
1.94,117.2,2.935,272.1,0.000178,-8.634,4.764
1.945,117.2,2.937,272,0.000178,-8.633,4.764
1.95,117.2,2.936,272.1,0.000178,-8.633,4.764
1.955,117.2,2.939,272,0.000178,-8.633,4.764
1.96,117.2,2.939,272,0.000178,-8.633,4.764
1.965,117.2,2.939,272,0.000178,-8.633,4.764
1.97,117.2,2.941,272,0.000178,-8.633,4.764
1.975,117.2,2.941,272,0.000178,-8.633,4.764
1.98,117.2,2.942,272,0.000178,-8.632,4.764
1.985,117.2,2.943,272,0.000178,-8.632,4.764
1.99,117.2,2.944,271.9,0.000178,-8.632,4.764
1.995,117.2,2.944,272,0.000178,-8.632,4.764
2,117.2,2.947,272,0.000178,-8.631,4.764
2.005,117.2,2.947,271.9,0.000178,-8.631,4.764
2.01,117.2,2.947,271.9,0.000178,-8.631,4.764
2.015,117.2,2.947,271.9,0.000178,-8.631,4.764
2.02,117.1,2.947,271.9,0.000178,-8.631,4.763
2.025,117.2,2.949,271.9,0.000178,-8.631,4.764
2.03,117.2,2.949,271.9,0.000178,-8.631,4.764
2.035,117.2,2.952,271.9,0.000179,-8.631,4.764
2.04,117.2,2.95,271.9,0.000179,-8.631,4.764
2.045,117.1,2.952,271.9,0.000179,-8.631,4.763
2.05,117.1,2.953,271.9,0.000179,-8.63,4.763
2.055,117.2,2.954,271.8,0.000179,-8.63,4.764
2.06,117.2,2.954,271.8,0.000179,-8.63,4.764
2.065,117.2,2.954,271.8,0.000179,-8.63,4.764
2.07,117.1,2.954,271.8,0.000179,-8.63,4.763
2.075,117.1,2.954,271.9,0.000179,-8.63,4.763
2.08,117.1,2.956,271.8,0.000179,-8.63,4.763
2.085,117.1,2.956,271.8,0.000179,-8.63,4.763
2.09,117.1,2.96,271.7,0.000179,-8.629,4.763
2.095,117.2,2.959,271.8,0.000179,-8.629,4.764
2.1,117.1,2.959,271.8,0.000179,-8.629,4.763
2.105,117.1,2.961,271.7,0.000179,-8.629,4.763
2.11,117.1,2.961,271.7,0.000179,-8.629,4.763
2.115,117.1,2.962,271.8,0.000179,-8.629,4.763
2.12,117.2,2.962,271.7,0.000179,-8.629,4.764
2.125,117.1,2.962,271.7,0.000179,-8.629,4.763
2.13,117.1,2.964,271.7,0.000179,-8.629,4.763
2.135,117.1,2.962,271.6,0.000179,-8.629,4.763
2.14,117.1,2.964,271.7,0.000179,-8.629,4.763
2.145,117.1,2.964,271.6,0.000179,-8.629,4.763
2.15,117.2,2.966,271.6,0.000179,-8.628,4.764
2.155,117.1,2.966,271.6,0.000179,-8.628,4.763
2.16,117.1,2.967,271.6,0.000179,-8.628,4.763
2.165,117.1,2.967,271.6,0.000179,-8.628,4.763
2.17,117.1,2.967,271.6,0.000179,-8.628,4.763
2.175,117.1,2.968,271.6,0.000179,-8.628,4.763
2.18,117.1,2.968,271.5,0.000179,-8.628,4.763
2.185,117.1,2.968,271.6,0.000179,-8.628,4.763
2.19,117.1,2.97,271.5,0.000179,-8.628,4.763
2.195,117,2.97,271.5,0.000179,-8.628,4.762
2.2,117.1,2.97,271.5,0.000179,-8.628,4.763
2.205,117.1,2.971,271.4,0.000179,-8.627,4.763
2.21,117,2.972,271.4,0.000179,-8.627,4.762
2.215,117.1,2.972,271.4,0.000179,-8.627,4.763
2.22,117.1,2.972,271.5,0.000179,-8.627,4.763
2.225,117.1,2.973,271.4,0.000179,-8.627,4.763
2.23,117.1,2.973,271.4,0.000179,-8.627,4.763
2.235,117.1,2.973,271.4,0.000179,-8.627,4.763
2.24,117.1,2.974,271.4,0.000179,-8.627,4.763
2.245,117,2.977,271.4,0.000179,-8.626,4.762
2.25,117.1,2.976,271.4,0.000179,-8.627,4.763
2.255,117,2.976,271.4,0.000179,-8.627,4.762
2.26,117.1,2.977,271.4,0.000179,-8.626,4.763
2.265,117,2.977,271.4,0.000179,-8.626,4.762
2.27,117,2.979,271.3,0.000179,-8.626,4.762
2.275,117,2.978,271.4,0.000179,-8.626,4.762
2.28,117,2.978,271.3,0.000179,-8.626,4.762
2.285,117.1,2.978,271.4,0.000179,-8.626,4.763
2.29,117,2.979,271.4,0.000179,-8.626,4.762
2.295,117.1,2.978,271.3,0.000179,-8.626,4.763
2.3,117.1,2.98,271.2,0.000179,-8.626,4.763
2.305,117.1,2.982,271.3,0.000179,-8.626,4.763
2.31,117.1,2.982,271.3,0.000179,-8.626,4.763
2.315,117.1,2.982,271.3,0.000179,-8.626,4.763
2.32,117.1,2.983,271.3,0.000179,-8.625,4.763
2.325,117.1,2.983,271.3,0.000179,-8.625,4.763
2.33,117.1,2.982,271.3,0.000179,-8.626,4.763
2.335,117.1,2.983,271.2,0.000179,-8.625,4.763
